Intolerance: Love's Struggle Throughout the Ages;1916
Over the Hill to the Poorhouse;1920
The Big Parade;1925
The Broadway Melody;1929
Hell's Angels;1930
A Farewell to Arms;1932
42nd Street;1933
She Done Him Wrong;1933
It Happened One Night;1934
Top Hat;1935
Modern Times;1936
The Charge of the Light Brigade;1936
The Prisoner of Zenda;1937
Snow White and the Seven Dwarfs;1937
Alexander's Ragtime Band;1938
You Can't Take It with You;1938
Gone with the Wind;1939
The Wizard of Oz;1939
Mr. Smith Goes to Washington;1939
Pinocchio;1940
Fantasia;1940
Boom Town;1940
Rebecca;1940
The Blue Bird;1940
How Green Was My Valley;1941
Casablanca;1942
Bambi;1942
A Guy Named Joe;1943
Bathing Beauty;1944
State Fair;1945
The Valley of Decision;1945
Spellbound;1945
The Lost Weekend;1945
Duel in the Sun;1946
It's a Wonderful Life;1946
The Best Years of Our Lives;1946
Tycoon;1947
Gentleman's Agreement;1947
The Lady from Shanghai;1947
The Pirate;1948
Red River;1948
Open Secret;1948
She Wore a Yellow Ribbon;1949
Sands of Iwo Jima;1949
Annie Get Your Gun;1950
Quo Vadis;1951
Show Boat;1951
A Streetcar Named Desire;1951
The Greatest Show on Earth;1952
Singin' in the Rain;1952
Deadline - U.S.A.;1952
High Noon;1952
The Robe;1953
From Here to Eternity;1953
Niagara;1953
The Beast from 20,000 Fathoms;1953
20,000 Leagues Under the Sea;1954
The Egyptian;1954
On the Waterfront;1954
The Trouble with Harry;1955
Moby Dick;1956
Trapeze;1956
Love Me Tender;1956
12 Angry Men;1957
Cat on a Hot Tin Roof;1958
Solomon and Sheba;1959
The Nun's Story;1959
Some Like It Hot;1959
Psycho;1960
The Apartment;1960
Elmer Gantry;1960
West Side Story;1961
The Misfits;1961
Judgment at Nuremberg;1961
Pocketful of Miracles;1961
The Hustler;1961
The Longest Day;1962
The Man Who Shot Liberty Valance;1962
To Kill a Mockingbird;1962
The Brain That Wouldn't Die;1962
55 Days at Peking;1963
It's a Mad, Mad, Mad, Mad World;1963
The Great Escape;1963
Donovan's Reef;1963
Hud;1963
The Fall of the Roman Empire;1964
My Fair Lady;1964
Mary Poppins;1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964
Nothing But a Man;1964
The Greatest Story Ever Told;1965
Doctor Zhivago;1965
The Sound of Music;1965
Major Dundee;1965
A Charlie Brown Christmas;1965
Harper;1966
Torn Curtain;1966
A Funny Thing Happened on the Way to the Forum;1966
Batman: The Movie;1966
In Cold Blood;1967
Point Blank;1967
Yours, Mine and Ours;1968
Night of the Living Dead;1968
Rosemary's Baby;1968
Hang 'Em High;1968
Charly;1968
Paint Your Wagon;1969
Sweet Charity;1969
Butch Cassidy and the Sundance Kid;1969
The Wild Bunch;1969
Topaz;1969
Midnight Cowboy;1969
The Stewardesses;1969
Darling Lili;1970
Catch-22;1970
Patton;1970
The Molly Maguires;1970
The Ballad of Cable Hogue;1970
Beneath the Planet of the Apes;1970
Cotton Comes to Harlem;1970
Beyond the Valley of the Dolls;1970
Woodstock;1970
The French Connection;1971
Fiddler on the Roof;1971
The Andromeda Strain;1971
Willy Wonka & the Chocolate Factory;1971
Escape from the Planet of the Apes;1971
Bananas;1971
Sweet Sweetback's Baadasssss Song;1971
The Night Visitor;1971
Pink Narcissus;1971
The Godfather;1972
1776;1972
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask;1972
Conquest of the Planet of the Apes;1972
Silent Running;1972
Pink Flamingos;1972
Mean Streets;1973
The Exorcist;1973
The Sting;1973
High Plains Drifter;1973
Pat Garrett & Billy the Kid;1973
Sleeper;1973
Battle for the Planet of the Apes;1973
American Graffiti;1973
The Godfather: Part II;1974
The Texas Chain Saw Massacre;1974
The Front Page;1974
Young Frankenstein;1974
Blazing Saddles;1974
The Conversation;1974
Benji;1974
Jaws;1975
One Flew Over the Cuckoo's Nest;1975
Death Race 2000;1975
The Bad News Bears;1976
Logan's Run;1976
Robin and Marian;1976
Silent Movie;1976
Network;1976
Family Plot;1976
Rocky;1976
Taxi Driver;1976
A Bridge Too Far;1977
Sorcerer;1977
Close Encounters of the Third Kind;1977
Damnation Alley;1977
Exorcist II: The Heretic;1977
New York, New York;1977
Star Wars: Episode IV - A New Hope;1977
Julia;1977
Capricorn One;1977
Annie Hall;1977
High Anxiety;1977
The Kentucky Fried Movie;1977
Kingdom of the Spiders;1977
Eraserhead;1977
Superman;1978
The Wiz;1978
Jaws 2;1978
Halloween;1978
F.I.S.T.;1978
Alien Zone;1978
Grease;1978
Animal House;1978
Days of Heaven;1978
The Last Waltz;1978
All That Jazz;1979
Star Trek: The Motion Picture;1979
1941;1979
Apocalypse Now;1979
The Black Hole;1979
Meteor;1979
Prophecy;1979
The Rose;1979
Escape from Alcatraz;1979
The Black Stallion;1979
Penitentiary;1979
Superman II;1980
Heaven's Gate;1980
The Blues Brothers;1980
Star Wars: Episode V - The Empire Strikes Back;1980
Can't Stop the Music;1980
The Shining;1980
The Fog;1980
Raging Bull;1980
Private Benjamin;1980
Coal Miner's Daughter;1980
The Long Riders;1980
Dressed to Kill;1980
Ordinary People;1980
Caddyshack;1980
Galaxina;1980
Somewhere in Time;1980
The Elephant Man;1980
The Blue Lagoon;1980
Airplane!;1980
Reds;1981
Raiders of the Lost Ark;1981
Under the Rainbow;1981
The Legend of the Lone Ranger;1981
Blow Out;1981
Dragonslayer;1981
Roar;1981
The Postman Always Rings Twice;1981
The Pursuit of D.B. Cooper;1981
History of the World: Part I;1981
Stripes;1981
Heartbeeps;1981
Sphinx;1981
Modern Problems;1981
The Four Seasons;1981
Mommie Dearest;1981
Nighthawks;1981
Friday the 13th Part 2;1981
The Howling;1981
The Evil Dead;1981
Graduation Day;1981
Conan the Barbarian;1982
Creepshow;1982
